date,price_usd
2011-09-06,6.8628
2011-09-07,7.1864
2011-09-08,6.53
2011-09-09,5.03
2011-09-12,6.078
2011-09-13,5.8
2011-09-14,5.6193
2011-09-15,4.84
2011-09-16,4.82
2011-09-19,5.46
2011-09-20,6.1119
2011-09-21,5.6114
2011-09-22,5.4278
2011-09-23,5.5451
2011-09-26,4.8697
2011-09-27,4.9156
2011-09-28,4.7725
2011-09-29,4.7794
2011-09-30,5.1401
2011-10-03,5.024
2011-10-04,4.96
2011-10-05,4.87
2011-10-06,4.7344
2011-10-07,4.2728
2011-10-10,4.1
2011-10-11,3.9308
2011-10-12,4.15
2011-10-13,4.0462
2011-10-14,3.9879
2011-10-17,2.56
2011-10-18,2.419
2011-10-19,2.27
2011-10-20,2.348
2011-10-21,2.57
2011-10-24,2.545
2011-10-25,2.77
2011-10-26,2.773
2011-10-27,3.04
2011-10-28,3.19
2011-10-31,3.248
2011-11-01,3.15
2011-11-02,3.2543
2011-11-03,3.152
2011-11-04,3.109
2011-11-07,3.0068
2011-11-08,3.035
2011-11-09,2.95
2011-11-10,2.8399
2011-11-11,3.08
2011-11-14,2.22
2011-11-15,2.329
2011-11-16,2.5604
2011-11-17,2.25
2011-11-18,2.05
2011-11-21,2.294
2011-11-22,2.3289
2011-11-23,2.3321
2011-11-24,2.4321
2011-11-25,2.5061
2011-11-28,2.55
2011-11-29,2.7502
2011-11-30,2.9701
2011-12-01,3.06
2011-12-02,3.1151
2011-12-05,2.8798
2011-12-06,3.03
2011-12-07,2.99
2011-12-08,2.98
2011-12-09,2.97
2011-12-12,3.135
2011-12-13,3.2499
2011-12-14,3.15
2011-12-15,3.2
2011-12-16,3.2
2011-12-19,3.5202
2011-12-20,3.95
2011-12-21,3.89
2011-12-22,3.8901
2011-12-23,3.9468
2011-12-26,4.018
2011-12-27,4.07
2011-12-28,4.1855
2011-12-29,4.166
2011-12-30,4.248
2012-01-02,5.2168
2012-01-03,4.8808
2012-01-04,5.5738
2012-01-05,6.9476
2012-01-06,6.6969
2012-01-09,6.3257
2012-01-10,6.36
2012-01-11,6.9
2012-01-12,6.8
2012-01-13,6.41
2012-01-16,6.6825
2012-01-17,5.6
2012-01-18,5.92
2012-01-19,6.3598
2012-01-20,6.4898
2012-01-23,6.356
2012-01-24,6.2898
2012-01-25,5.75
2012-01-26,5.34
2012-01-27,5.292
2012-01-30,5.4905
2012-01-31,5.4838
2012-02-01,6.0756
2012-02-02,6.1
2012-02-03,5.9593
2012-02-06,5.4535
2012-02-07,5.69
2012-02-08,5.6
2012-02-09,5.83
2012-02-10,5.9126
2012-02-13,5.26
2012-02-14,4.4629
2012-02-15,4.3251
2012-02-16,4.2739
2012-02-17,4.41
2012-02-20,4.3615
2012-02-21,4.272
2012-02-22,4.4247
2012-02-23,5.015
2012-02-24,5.0288
2012-02-27,4.956
2012-02-28,4.868
2012-02-29,4.86
2012-03-01,4.9213
2012-03-02,4.705
2012-03-05,4.9843
2012-03-06,4.9901
2012-03-07,4.9375
2012-03-08,4.9302
2012-03-09,4.8611
2012-03-12,4.8901
2012-03-13,5.27
2012-03-14,5.38
2012-03-15,5.3266
2012-03-16,5.3439
2012-03-19,4.6939
2012-03-20,4.8379
2012-03-21,4.8149
2012-03-22,4.7043
2012-03-23,4.686
2012-03-26,4.6191
2012-03-27,4.8113
2012-03-28,4.788
2012-03-29,4.8084
2012-03-30,4.86
2012-04-02,4.974
2012-04-03,4.952
2012-04-04,4.9101
2012-04-05,4.919
2012-04-06,4.9499
2012-04-09,4.8719
2012-04-10,4.8367
2012-04-11,4.9279
2012-04-12,4.9197
2012-04-13,4.94
2012-04-16,4.932
2012-04-17,4.9759
2012-04-18,5.1178
2012-04-19,5.1377
2012-04-20,5.35
2012-04-23,4.96
2012-04-24,5.0982
2012-04-25,5.1318
2012-04-26,5.0976
2012-04-27,5.1095
2012-04-30,4.9491
2012-05-01,5.0
2012-05-02,5.0737
2012-05-03,5.1344
2012-05-04,5.067
2012-05-07,5.06
2012-05-08,5.05
2012-05-09,5.0437
2012-05-10,4.85
2012-05-11,4.96
2012-05-14,5.0059
2012-05-15,5.035
2012-05-16,5.0887
2012-05-17,5.0998
2012-05-18,5.118
2012-05-21,5.0998
2012-05-22,5.0988
2012-05-23,5.1397
2012-05-24,5.119
2012-05-25,5.1455
2012-05-28,5.1358
2012-05-29,5.15
2012-05-30,5.135
2012-05-31,5.1801
2012-06-01,5.2748
2012-06-04,5.266
2012-06-05,5.44
2012-06-06,5.46
2012-06-07,5.591
2012-06-08,5.633
2012-06-11,5.5747
2012-06-12,5.7
2012-06-13,5.929
2012-06-14,5.9541
2012-06-15,6.5
2012-06-18,6.31
2012-06-19,6.4988
2012-06-20,6.67
2012-06-21,6.6801
2012-06-22,6.5478
2012-06-25,6.3048
2012-06-26,6.4195
2012-06-27,6.647
2012-06-28,6.6059
2012-06-29,6.65
2012-07-02,6.76
2012-07-03,6.4499
2012-07-04,6.5101
2012-07-05,6.67
2012-07-06,6.6481
2012-07-09,7.0215
2012-07-10,7.1999
2012-07-11,7.15
2012-07-12,7.7644
2012-07-13,7.6651
2012-07-16,8.4996
2012-07-17,8.8
2012-07-18,9.1098
2012-07-19,8.87
2012-07-20,8.52
2012-07-23,8.4457
2012-07-24,8.6
2012-07-25,8.8
2012-07-26,8.9
2012-07-27,8.9
2012-07-30,9.098
2012-07-31,9.35
2012-08-01,9.55
2012-08-02,10.53
2012-08-03,10.97
2012-08-06,10.855
2012-08-07,11.1
2012-08-08,11.055
2012-08-09,11.061
2012-08-10,11.386
2012-08-13,12.038
2012-08-14,12.19
2012-08-15,13.25
2012-08-16,13.5
2012-08-17,11.584
2012-08-20,10.1
2012-08-21,9.915
2012-08-22,9.807
2012-08-23,10.1
2012-08-24,10.6
2012-08-27,10.95
2012-08-28,10.94
2012-08-29,10.917
2012-08-30,10.777
2012-08-31,10.16
2012-09-03,10.53
2012-09-04,10.385
2012-09-05,11.0
2012-09-06,11.181
2012-09-07,11.0
2012-09-10,11.17
2012-09-11,11.331
2012-09-12,11.365
2012-09-13,11.399
2012-09-14,11.67
2012-09-17,11.89
2012-09-18,12.25
2012-09-19,12.573
2012-09-20,12.283
2012-09-21,12.368
2012-09-24,12.1
2012-09-25,12.197
2012-09-26,12.27
2012-09-27,12.309
2012-09-28,12.391
2012-10-01,12.4
2012-10-02,12.84
2012-10-03,12.89
2012-10-04,12.85
2012-10-05,12.688
2012-10-08,11.778
2012-10-09,11.895
2012-10-10,12.12
2012-10-11,12.03
2012-10-12,12.0
2012-10-15,11.838
2012-10-16,11.85
2012-10-17,11.81
2012-10-18,11.94
2012-10-19,11.74
2012-10-22,11.71
2012-10-23,11.65
2012-10-24,11.65
2012-10-25,10.862
2012-10-26,10.171
2012-10-29,10.6
2012-10-30,10.888
2012-10-31,11.201
2012-11-01,10.57
2012-11-02,10.469
2012-11-05,10.748
2012-11-06,10.899
2012-11-07,10.92
2012-11-08,10.925
2012-11-09,10.815
2012-11-12,11.008
2012-11-13,10.951
2012-11-14,10.95
2012-11-15,11.198
2012-11-16,11.749
2012-11-19,11.8
2012-11-20,11.733
2012-11-21,11.77
2012-11-22,12.422
2012-11-23,12.345
2012-11-26,12.246
2012-11-27,12.2
2012-11-28,12.348
2012-11-29,12.45
2012-11-30,12.565
2012-12-03,12.679
2012-12-04,13.41
2012-12-05,13.38
2012-12-06,13.299
2012-12-07,13.5
2012-12-10,13.433
2012-12-11,13.557
2012-12-12,13.699
2012-12-13,13.7
2012-12-14,13.6
2012-12-17,13.25
2012-12-18,13.299
2012-12-19,13.599
2012-12-20,13.525
2012-12-21,13.5
2012-12-24,13.38
2012-12-25,13.35
2012-12-26,13.468
2012-12-27,13.422
2012-12-28,13.421
2012-12-31,13.51
2013-01-01,13.304
2013-01-02,13.28
2013-01-03,13.398
2013-01-04,13.5
2013-01-07,13.588
2013-01-08,13.743
2013-01-09,13.77
2013-01-10,14.14
2013-01-11,14.137
2013-01-14,14.3
2013-01-15,14.25
2013-01-16,14.73
2013-01-17,15.5
2013-01-18,15.705
2013-01-21,16.8
2013-01-22,17.261
2013-01-23,17.5
2013-01-24,16.896
2013-01-25,17.4
2013-01-28,18.721
2013-01-29,19.525
2013-01-30,19.7
2013-01-31,20.41
2013-02-01,20.499
2013-02-04,20.43
2013-02-05,20.6
2013-02-06,21.18
2013-02-07,22.15
2013-02-08,22.66
2013-02-11,24.65
2013-02-12,25.17
2013-02-13,24.2
2013-02-14,27.221
2013-02-15,27.1
2013-02-18,26.95
2013-02-19,29.418
2013-02-20,29.645
2013-02-21,29.748
2013-02-22,30.245
2013-02-25,30.4
2013-02-26,31.1
2013-02-27,30.901
2013-02-28,33.38
2013-03-01,34.5
2013-03-04,36.152
2013-03-05,40.33
2013-03-06,41.02
2013-03-07,42.0
2013-03-08,44.18
2013-03-11,48.4
2013-03-12,44.29
2013-03-13,46.92
2013-03-14,47.17
2013-03-15,46.95
2013-03-18,51.6
2013-03-19,59.14
2013-03-20,64.489
2013-03-21,70.85
2013-03-22,69.865
2013-03-25,73.6
2013-03-26,78.5
2013-03-27,88.92
2013-03-28,86.18
2013-03-29,90.5
2013-04-01,104.0
2013-04-02,117.98
2013-04-03,135.0
2013-04-04,132.12
2013-04-05,142.32
2013-04-08,187.5
2013-04-09,230.0
2013-04-10,165.0
2013-04-11,124.9
2013-04-12,117.0
2013-04-15,82.386
2013-04-16,68.356
2013-04-17,93.07
2013-04-18,109.01
2013-04-19,118.48
2013-04-22,127.4
2013-04-23,143.48
2013-04-24,154.2
2013-04-25,141.71
2013-04-26,136.9
2013-04-29,142.47
2013-04-30,138.38
2013-05-01,117.5
2013-05-02,111.16
2013-05-03,94.0
2013-05-06,111.32
2013-05-07,109.7
2013-05-08,113.49
2013-05-09,112.2
2013-05-10,118.23
2013-05-13,117.17
2013-05-14,113.88
2013-05-15,114.89
2013-05-16,117.37
2013-05-17,122.9
2013-05-20,121.54
2013-05-21,122.78
2013-05-22,123.0
2013-05-23,125.36
2013-05-24,129.91
2013-05-27,129.7
2013-05-28,128.9
2013-05-29,131.89
2013-05-30,128.9
2013-05-31,127.4
2013-06-03,122.31
2013-06-04,121.5
2013-06-05,121.47
2013-06-06,119.7
2013-06-07,112.48
2013-06-10,106.15
2013-06-11,108.8
2013-06-12,108.92
2013-06-13,102.9
2013-06-14,99.55
2013-06-17,101.5
2013-06-18,105.43
2013-06-19,107.0
2013-06-20,109.64
2013-06-21,109.64
2013-06-24,102.13
2013-06-25,102.23
2013-06-26,104.13
2013-06-27,102.5
2013-06-28,95.399
2013-07-01,88.558
2013-07-02,89.853
2013-07-03,81.129
2013-07-04,80.424
2013-07-05,70.73
2013-07-08,77.76
2013-07-09,76.999
2013-07-10,85.58
2013-07-11,87.56
2013-07-12,92.876
2013-07-15,99.45
2013-07-16,97.1
2013-07-17,98.0
2013-07-18,89.897
2013-07-19,93.097
2013-07-22,91.675
2013-07-23,95.12
2013-07-24,93.92
2013-07-25,96.5
2013-07-26,96.832
2013-07-29,100.86
2013-07-30,105.0
2013-07-31,107.75
2013-08-01,104.47
2013-08-02,104.07
2013-08-05,107.05
2013-08-06,106.46
2013-08-07,106.3
2013-08-08,103.25
2013-08-09,102.14
2013-08-12,107.6
2013-08-13,107.69
2013-08-14,113.0
2013-08-15,110.8
2013-08-16,108.81
2013-08-19,118.5
2013-08-20,122.39
2013-08-21,123.84
2013-08-22,122.33
2013-08-23,118.52
2013-08-26,120.1
2013-08-27,131.3
2013-08-28,130.5
2013-08-29,129.0
2013-08-30,136.01
2013-09-02,144.0
2013-09-03,143.2
2013-09-04,135.22
2013-09-05,134.3
2013-09-06,125.7
2013-09-09,131.13
2013-09-10,132.81
2013-09-11,136.09
2013-09-12,140.9
2013-09-13,141.99
2013-09-16,138.75
2013-09-17,139.22
2013-09-18,141.0
2013-09-19,136.1
2013-09-20,134.34
2013-09-23,133.41
2013-09-24,135.5
2013-09-25,136.09
2013-09-26,136.89
2013-09-27,140.0
2013-09-30,141.32
2013-10-01,141.19
2013-10-02,124.15
2013-10-03,129.71
2013-10-04,138.49
2013-10-07,137.0
2013-10-08,137.0
2013-10-09,139.13
2013-10-10,140.1
2013-10-11,141.3
2013-10-14,149.02
2013-10-15,154.4
2013-10-16,151.99
2013-10-17,157.75
2013-10-18,165.01
2013-10-21,191.01
2013-10-22,200.3
2013-10-23,222.01
2013-10-24,199.0
2013-10-25,189.0
2013-10-28,206.9
2013-10-29,215.08
2013-10-30,205.99
2013-10-31,211.37
2013-11-01,213.87
2013-11-04,236.31
2013-11-05,254.1
2013-11-06,264.0
2013-11-07,308.0
2013-11-08,346.05
2013-11-11,362.2
2013-11-12,380.0
2013-11-13,441.0
2013-11-14,434.99
2013-11-15,438.06
2013-11-18,751.99
2013-11-19,649.98
2013-11-20,609.98
2013-11-21,773.81
2013-11-22,765.35
2013-11-25,828.02
2013-11-26,958.96
2013-11-27,1054.52
2013-11-28,1183.01
2013-11-29,1157.94
2013-12-02,1089.92
2013-12-03,1153.0
2013-12-04,1238.7
2013-12-05,1117.94
2013-12-06,909.84
2013-12-09,904.98
2013-12-10,1026.06
2013-12-11,879.12
2013-12-12,872.52
2013-12-13,870.25
2013-12-16,716.95
2013-12-17,680.46
2013-12-18,537.58
2013-12-19,687.66
2013-12-20,622.39
2013-12-23,672.45
2013-12-24,654.75
2013-12-26,773.81
2013-12-27,727.01
2013-12-30,761.33
2013-12-31,753.52
2014-01-02,808.87
2014-01-03,814.73
2014-01-06,938.7
2014-01-07,818.6
2014-01-08,829.53
2014-01-09,840.12
2014-01-10,865.2
2014-01-13,842.74
2014-01-14,839.07
2014-01-15,863.41
2014-01-16,841.33
2014-01-17,804.38
2014-01-20,880.2
2014-01-21,865.5
2014-01-22,846.6
2014-01-23,823.05
2014-01-24,802.18
2014-01-27,774.83
2014-01-28,819.61
2014-01-29,824.54
2014-01-30,816.73
2014-01-31,822.57
2014-02-03,824.0
2014-02-04,828.57
2014-02-05,822.23
2014-02-06,780.52
2014-02-07,725.37
2014-02-10,665.91
2014-02-11,653.42
2014-02-12,659.37
2014-02-13,614.82
2014-02-14,653.89
2014-02-17,626.49
2014-02-18,623.44
2014-02-19,624.06
2014-02-20,565.0
2014-02-21,567.67
2014-02-24,542.92
2014-02-25,535.1
2014-02-26,586.75
2014-02-27,581.4
2014-02-28,560.95
2014-03-03,663.57
2014-03-04,663.88
2014-03-05,662.38
2014-03-06,660.24
2014-03-07,629.33
2014-03-10,628.06
2014-03-11,635.69
2014-03-12,632.91
2014-03-13,637.51
2014-03-14,630.56
2014-03-17,623.36
2014-03-18,613.31
2014-03-19,614.4
2014-03-20,590.08
2014-03-21,580.99
2014-03-24,587.13
2014-03-25,582.55
2014-03-26,581.67
2014-03-27,511.14
2014-03-28,493.68
2014-03-31,453.37
2014-04-01,486.78
2014-04-02,439.41
2014-04-03,445.4
2014-04-04,446.35
2014-04-07,449.22
2014-04-08,448.35
2014-04-09,440.18
2014-04-10,375.33
2014-04-11,416.63
2014-04-14,456.56
2014-04-15,504.9
2014-04-16,530.48
2014-04-17,501.03
2014-04-18,479.62
2014-04-21,491.45
2014-04-22,485.23
2014-04-23,487.05
2014-04-24,492.95
2014-04-25,456.2
2014-04-28,442.18
2014-04-29,443.01
2014-04-30,445.87
2014-05-01,456.06
2014-05-02,445.73
2014-05-05,429.15
2014-05-06,427.24
2014-05-07,441.66
2014-05-08,437.75
2014-05-09,445.99
2014-05-12,439.23
2014-05-13,436.15
2014-05-14,443.79
2014-05-15,444.07
2014-05-16,446.87
2014-05-19,443.77
2014-05-20,482.6
2014-05-21,488.83
2014-05-22,520.13
2014-05-23,524.85
2014-05-26,579.64
2014-05-27,571.98
2014-05-28,567.92
2014-05-29,566.09
2014-05-30,608.79
2014-06-02,663.39
2014-06-03,663.0
2014-06-04,642.06
2014-06-05,657.2
2014-06-06,649.31
2014-06-09,642.47
2014-06-10,649.39
2014-06-11,627.24
2014-06-12,583.02
2014-06-13,588.44
2014-06-16,595.27
2014-06-17,607.94
2014-06-18,603.79
2014-06-19,593.09
2014-06-20,590.49
2014-06-23,586.68
2014-06-24,583.29
2014-06-25,563.32
2014-06-26,571.07
2014-06-27,587.3
2014-06-30,636.86
2014-07-01,643.79
2014-07-02,645.16
2014-07-03,637.92
2014-07-04,631.11
2014-07-07,617.25
2014-07-08,621.0
2014-07-09,622.08
2014-07-10,616.14
2014-07-11,630.52
2014-07-14,620.19
2014-07-15,619.35
2014-07-16,614.86
2014-07-17,622.86
2014-07-18,624.61
2014-07-21,619.96
2014-07-22,619.16
2014-07-23,618.2
2014-07-24,598.98
2014-07-25,599.41
2014-07-28,585.48
2014-07-29,582.24
2014-07-30,564.24
2014-07-31,584.22
2014-08-01,596.91
2014-08-04,586.17
2014-08-05,581.4
2014-08-06,582.45
2014-08-07,588.86
2014-08-08,591.44
2014-08-11,573.46
2014-08-12,566.86
2014-08-13,541.92
2014-08-14,509.66
2014-08-15,492.56
2014-08-18,453.56
2014-08-19,479.52
2014-08-20,509.42
2014-08-21,520.37
2014-08-22,512.95
2014-08-25,502.24
2014-08-26,508.65
2014-08-27,513.69
2014-08-28,506.46
2014-08-29,508.7
2014-09-01,480.33
2014-09-02,478.1
2014-09-03,476.67
2014-09-04,489.48
2014-09-05,481.9
2014-09-08,471.65
2014-09-09,472.93
2014-09-10,478.88
2014-09-11,474.81
2014-09-12,472.68
2014-09-15,474.27
2014-09-16,462.88
2014-09-17,450.09
2014-09-18,424.67
2014-09-19,395.98
2014-09-22,401.91
2014-09-23,434.71
2014-09-24,422.96
2014-09-25,410.34
2014-09-26,402.29
2014-09-29,376.62
2014-09-30,386.01
2014-10-01,381.64
2014-10-02,371.98
2014-10-03,359.93
2014-10-06,335.26
2014-10-07,327.94
2014-10-08,350.3
2014-10-09,356.39
2014-10-10,355.34
2014-10-13,389.67
2014-10-14,402.87
2014-10-15,390.72
2014-10-16,377.39
2014-10-17,378.33
2014-10-20,380.82
2014-10-21,382.89
2014-10-22,379.87
2014-10-23,355.0
2014-10-24,355.7
2014-10-27,350.85
2014-10-28,351.48
2014-10-29,335.6
2014-10-30,343.83
2014-10-31,340.06
2014-11-03,324.02
2014-11-04,326.71
2014-11-05,338.15
2014-11-06,348.08
2014-11-07,341.97
2014-11-10,367.23
2014-11-11,366.03
2014-11-12,417.31
2014-11-13,416.6
2014-11-14,392.68
2014-11-17,386.74
2014-11-18,376.29
2014-11-19,375.36
2014-11-20,356.19
2014-11-21,351.38
2014-11-24,378.39
2014-11-25,376.05
2014-11-26,366.69
2014-11-27,368.18
2014-11-28,378.57
2014-12-01,379.51
2014-12-02,380.63
2014-12-03,375.39
2014-12-04,369.32
2014-12-05,376.45
2014-12-08,364.96
2014-12-09,350.72
2014-12-10,346.43
2014-12-11,346.52
2014-12-12,353.17
2014-12-15,345.38
2014-12-16,329.29
2014-12-17,319.79
2014-12-18,311.72
2014-12-19,313.69
2014-12-22,329.02
2014-12-23,333.26
2014-12-24,322.14
2014-12-26,326.76
2014-12-29,313.03
2014-12-30,310.1
2014-12-31,316.89
2015-01-02,315.03
2015-01-05,270.93
2015-01-06,283.77
2015-01-07,294.92
2015-01-08,283.53
2015-01-09,290.18
2015-01-12,269.32
2015-01-13,219.91
2015-01-14,172.95
2015-01-15,207.25
2015-01-16,207.09
2015-01-19,214.53
2015-01-20,210.23
2015-01-21,226.69
2015-01-22,231.13
2015-01-23,234.02
2015-01-26,267.64
2015-01-27,262.18
2015-01-28,231.36
2015-01-29,231.79
2015-01-30,229.65
2015-02-02,231.91
2015-02-03,228.59
2015-02-04,224.43
2015-02-05,217.28
2015-02-06,223.97
2015-02-09,220.93
2015-02-10,220.68
2015-02-11,219.23
2015-02-12,222.0
2015-02-13,237.33
2015-02-16,236.16
2015-02-17,242.3
2015-02-18,234.49
2015-02-19,240.47
2015-02-20,242.17
2015-02-23,238.84
2015-02-24,238.83
2015-02-25,237.26
2015-02-26,236.28
2015-02-27,254.38
2015-03-02,269.11
2015-03-03,282.75
2015-03-04,272.07
2015-03-05,275.1
2015-03-06,273.11
2015-03-09,288.33
2015-03-10,292.31
2015-03-11,295.27
2015-03-12,294.06
2015-03-13,288.96
2015-03-16,290.5
2015-03-17,284.29
2015-03-18,254.14
2015-03-19,260.17
2015-03-20,260.76
2015-03-23,266.65
2015-03-24,248.07
2015-03-25,246.26
2015-03-26,247.59
2015-03-27,248.32
2015-03-30,246.29
2015-03-31,245.014
2015-04-01,246.45
2015-04-02,251.27
2015-04-03,253.33
2015-04-06,255.4
2015-04-07,253.6
2015-04-08,245.28
2015-04-09,242.45
2015-04-10,235.11
2015-04-13,222.06
2015-04-14,216.04
2015-04-15,220.95
2015-04-16,229.12
2015-04-17,223.49
2015-04-20,223.26
2015-04-21,233.02
2015-04-22,233.2
2015-04-23,234.42
2015-04-24,231.28
2015-04-27,232.13
2015-04-28,225.44
2015-04-29,226.23
2015-04-30,236.66
2015-05-01,234.7
2015-05-04,238.61
2015-05-05,235.8
2015-05-06,230.59
2015-05-07,238.96
2015-05-08,244.73
2015-05-11,242.27
2015-05-12,241.26
2015-05-13,234.95
